symbol,exchange
NVDA,NAS
AAPL,NAS
GOOGL,NAS
GOOG,NAS
MSFT,NAS
AMZN,NAS
AVGO,NAS
META,NAS
TSLA,NAS
MU,NAS
LLY,NYS
BRK/B,NYS
JPM,NYS
WMT,NYS
AMD,NAS
V,NYS
JNJ,NYS
XOM,NYS
INTC,NAS
MA,NYS
AMAT,NAS
CSCO,NAS
LRCX,NAS
ABBV,NYS
BAC,NYS
CAT,NYS
COST,NAS
UNH,NYS
GE,NYS
ORCL,NYS
CVX,NYS
MS,NYS
KO,NYS
PG,NYS
HD,NYS
GS,NYS
PLTR,NAS
NFLX,NAS
KLAC,NAS
MRK,NYS
DELL,NYS
PANW,NAS
GEV,NYS
TXN,NAS
PM,NYS
WFC,NYS
RTX,NYS
SNDK,NAS
AXP,NYS
LIN,NAS
ANET,NYS
C,NYS
CRWD,NAS
IBM,NYS
TMUS,NAS
TMO,NYS
STX,NAS
APH,NYS
MRVL,NAS
WDC,NAS
AMGN,NAS
ADI,NAS
MCD,NYS
QCOM,NAS
NEE,NYS
PEP,NAS
VZ,NYS
SCHW,NYS
UNP,NYS
BA,NYS
WELL,NYS
DIS,NYS
TJX,NYS
IBKR,NAS
GLW,NYS
GILD,NAS
ETN,NYS
BLK,NYS
DE,NYS
ABT,NYS
APP,NAS
T,NYS
UBER,NYS
DHR,NYS
PFE,NYS
CRM,NYS
COP,NYS
PLD,NYS
BKNG,NAS
CVS,NYS
ISRG,NAS
CB,NYS
PGR,NYS
SPGI,NYS
COF,NYS
FTNT,NAS
PH,NYS
SBUX,NAS
VRTX,NAS
SYK,NYS
LMT,NYS
MO,NYS
VRT,NYS
LOW,NYS
BMY,NYS
HWM,NYS
SO,NYS
NOW,NYS
TT,NYS
BNY,NYS
CDNS,NAS
HOOD,NAS
MDT,NYS
NEM,NYS
PNC,NYS
EQIX,NAS
GD,NYS
ADP,NAS
PWR,NYS
DUK,NYS
UPS,NYS
MCK,NYS
USB,NYS
DDOG,NAS
MNST,NAS
